dose,state,year,age,val
"≥1 Dose, Males and Females",Maine,2022,13-17 Years,77.9
"≥2 Doses, Females",Maine,2017,13-17 Years,67.2
"≥2 Doses, Females",Maine,2016,13-17 Years,68.1
"≥2 Doses, Females",Maine,2014,13-17 Years,52.9
"≥2 Doses, Females",Maine,2015,13-17 Years,53.9
"≥2 Doses, Females",Maine,2019,13-17 Years,57.1
"≥2 Doses, Females",Maine,2018,13-17 Years,56.5
"≥2 Doses, Males",Maine,2013,13-17 Years,31.1
"≥2 Doses, Males",Maine,2014,13-17 Years,42.5
"≥2 Doses, Males",Maine,2017,13-17 Years,58.7
"≥2 Doses, Males",Maine,2016,13-17 Years,55.0
"≥2 Doses, Males",Maine,2012,13-17 Years,17.4
"≥2 Doses, Males",Maine,2018,13-17 Years,53.5
"≥2 Doses, Males",Maine,2015,13-17 Years,58.7
"≥3 Doses, Males and Females",Maine,2012,13-17 Years,26.6
"≥3 Doses, Males and Females",Maine,2011,13-17 Years,21.6
"≥3 Doses, Males and Females",Maine,2013,13-17 Years,31.3
"≥3 Doses, Males and Females",Maine,2015,13-17 Years,45.4
"≥3 Doses, Males and Females",Maine,2014,13-17 Years,35.1
"Up-to-Date, Males and Females",Maine,2021,13-17 Years,61.5
"Up-to-Date, Males and Females",Maine,2022,13-17 Years,66.2
"Up-to-Date, Males and Females",Maine,2020,13-17 Years,63.5
"≥3 Doses, Males",Maine,2013,13-17 Years,17.6
"≥3 Doses, Males",Maine,2012,13-17 Years,12.1
"≥3 Doses, Females",Maine,2015,13-17 Years,44.1
"≥3 Doses, Females",Maine,2010,13-17 Years,32.9
"≥3 Doses, Females",Maine,2013,13-17 Years,45.8
"≥3 Doses, Females",Maine,2014,13-17 Years,43.0
"≥3 Doses, Females",Maine,2012,13-17 Years,41.8
"≥3 Doses, Females",Maine,2011,13-17 Years,44.5
"≥3 Doses, Females",Maine,2008,13-17 Years,21.4
"≥3 Doses, Females",Maine,2009,13-17 Years,28.0
"≥1 Dose, Males",Maine,2020,13-17 Years,75.9
"≥1 Dose, Males",Maine,2021,13-17 Years,74.9
"≥1 Dose, Males",Maine,2017,13-17 Years,72.2
"≥2 Doses, Males and Females",Maine,2019,13-17 Years,53.8
"≥1 Dose, Males",Maine,2013,13-17 Years,42.2
"≥1 Dose, Males",Maine,2014,13-17 Years,53.1
"≥1 Dose, Males",Maine,2015,13-17 Years,65.8
"≥1 Dose, Males",Maine,2016,13-17 Years,67.1
"≥1 Dose, Males",Maine,2019,13-17 Years,65.2
"≥1 Dose, Females",Maine,2008,13-17 Years,40.3
"≥1 Dose, Females",Maine,2009,13-17 Years,44.4
"≥1 Dose, Females",Maine,2015,13-17 Years,66.0
"≥1 Dose, Females",Maine,2014,13-17 Years,66.8
"≥1 Dose, Females",Maine,2013,13-17 Years,60.2
"≥1 Dose, Females",Maine,2012,13-17 Years,61.7
"≥1 Dose, Females",Maine,2011,13-17 Years,56.1
"≥1 Dose, Females",Maine,2010,13-17 Years,54.6
"≥3 Doses, Males",Maine,2015,13-17 Years,46.7
"≥3 Doses, Males",Maine,2014,13-17 Years,27.5
"Up-to-Date, Males and Females",Maine,2019,13-17 Years,52.6
"Up-to-Date, Males and Females",Maine,2018,13-17 Years,50.7
"Up-to-Date, Males and Females",Maine,2017,13-17 Years,59.2
"Up-to-Date, Males and Females",Maine,2016,13-17 Years,56.0
"≥2 Doses, Males",Maine,2019,13-17 Years,50.6
"Up-to-Date, Females",Maine,2019,13-17 Years,56.6
"Up-to-Date, Females",Maine,2018,13-17 Years,52.0
"Up-to-Date, Males",Maine,2021,13-17 Years,55.5
"Up-to-Date, Females",Maine,2020,13-17 Years,62.4
"Up-to-Date, Males",Maine,2016,13-17 Years,48.2
"Up-to-Date, Females",Maine,2016,13-17 Years,64.3
"Up-to-Date, Males",Maine,2019,13-17 Years,48.9
"Up-to-Date, Males",Maine,2020,13-17 Years,64.6
"Up-to-Date, Males",Maine,2017,13-17 Years,57.0
"Up-to-Date, Males",Maine,2018,13-17 Years,49.5
"Up-to-Date, Females",Maine,2017,13-17 Years,61.5
"Up-to-Date, Males",Maine,2022,13-17 Years,66.8
"Up-to-Date, Females",Maine,2021,13-17 Years,67.8
"Up-to-Date, Females",Maine,2022,13-17 Years,65.6
"≥1 Dose, Males",Kansas,2023,13-17 Years,76.2
"≥1 Dose, Males and Females",Kansas,2023,13-17 Years,75.4
"≥1 Dose, Females",Kansas,2023,13-17 Years,74.5
"Up-to-Date, Males and Females",Kansas,2023,13-17 Years,60.4
"Up-to-Date, Males",Kansas,2023,13-17 Years,61.3
"Up-to-Date, Females",Kansas,2023,13-17 Years,59.4
"≥2 Doses, Males and Females",Kansas,2022,13-17 Years,61.9
"≥2 Doses, Males",Kansas,2022,13-17 Years,60.5
"≥1 Dose, Males and Females",Kansas,2022,13-17 Years,73.4
"≥1 Dose, Males",Kansas,2022,13-17 Years,73.4
"≥2 Doses, Females",Kansas,2013,13-17 Years,29.9
"≥2 Doses, Females",Kansas,2012,13-17 Years,32.8
"≥1 Dose, Males and Females",Kansas,2021,13-17 Years,76.5
"≥1 Dose, Males and Females",Kansas,2020,13-17 Years,63.3
"≥1 Dose, Males and Females",Kansas,2019,13-17 Years,65.9
"≥2 Doses, Females",Kansas,2015,13-17 Years,43.6
"≥2 Doses, Females",Kansas,2014,13-17 Years,30.4
"≥2 Doses, Females",Kansas,2017,13-17 Years,40.0
"≥2 Doses, Females",Kansas,2016,13-17 Years,50.1
"≥2 Doses, Females",Kansas,2018,13-17 Years,41.6
"≥2 Doses, Females",Kansas,2019,13-17 Years,48.5
"≥2 Doses, Males",Kansas,2014,13-17 Years,23.5
"≥2 Doses, Males",Kansas,2013,13-17 Years,19.3
"≥2 Doses, Males",Kansas,2012,13-17 Years,11.1
"≥2 Doses, Males",Kansas,2015,13-17 Years,26.3
"≥2 Doses, Males",Kansas,2018,13-17 Years,47.5
"≥2 Doses, Males",Kansas,2017,13-17 Years,34.7
"≥2 Doses, Males",Kansas,2016,13-17 Years,29.1
"≥2 Doses, Females",Kansas,2022,13-17 Years,63.4
"≥3 Doses, Males and Females",Kansas,2014,13-17 Years,22.1
"≥3 Doses, Males and Females",Kansas,2015,13-17 Years,24.9
"≥3 Doses, Males and Females",Kansas,2013,13-17 Years,14.4
"≥3 Doses, Males and Females",Kansas,2011,13-17 Years,11.0
"≥3 Doses, Males and Females",Kansas,2012,13-17 Years,14.5
"≥3 Doses, Males",Kansas,2014,13-17 Years,19.5
"≥3 Doses, Males",Kansas,2015,13-17 Years,18.5
"≥3 Doses, Females",Kansas,2014,13-17 Years,24.8
"≥3 Doses, Females",Kansas,2013,13-17 Years,21.0
"≥3 Doses, Females",Kansas,2012,13-17 Years,25.1
"≥3 Doses, Females",Kansas,2009,13-17 Years,27.7
"≥3 Doses, Females",Kansas,2008,13-17 Years,15.6
"≥3 Doses, Females",Kansas,2015,13-17 Years,31.7
"≥3 Doses, Females",Kansas,2011,13-17 Years,21.9
"≥2 Doses, Males",Kansas,2019,13-17 Years,54.7
"≥3 Doses, Females",Kansas,2010,13-17 Years,25.1
"≥1 Dose, Females",Kansas,2009,13-17 Years,44.1
"≥1 Dose, Females",Kansas,2014,13-17 Years,38.3
"≥1 Dose, Females",Kansas,2015,13-17 Years,50.9
"≥1 Dose, Females",Kansas,2013,13-17 Years,39.9
"≥1 Dose, Females",Kansas,2012,13-17 Years,42.7
"≥1 Dose, Females",Kansas,2010,13-17 Years,40.2
"≥1 Dose, Females",Kansas,2011,13-17 Years,37.2
"≥2 Doses, Males and Females",Kansas,2017,13-17 Years,37.3
"≥2 Doses, Males and Females",Kansas,2016,13-17 Years,39.3
"≥1 Dose, Males",Kansas,2018,13-17 Years,64.0
"≥1 Dose, Females",Kansas,2022,13-17 Years,73.5
"≥1 Dose, Females",Kansas,2021,13-17 Years,83.2
"≥1 Dose, Females",Kansas,2020,13-17 Years,66.4
"≥2 Doses, Males and Females",Kansas,2018,13-17 Years,44.6
"≥1 Dose, Males",Kansas,2019,13-17 Years,70.0
"≥2 Doses, Males and Females",Kansas,2019,13-17 Years,51.6
"≥1 Dose, Males",Kansas,2021,13-17 Years,70.2
"≥1 Dose, Males",Kansas,2020,13-17 Years,60.4
"≥1 Dose, Males",Kansas,2014,13-17 Years,32.8
"≥1 Dose, Males",Kansas,2013,13-17 Years,25.1
"≥1 Dose, Males",Kansas,2015,13-17 Years,36.0
"≥1 Dose, Males",Kansas,2016,13-17 Years,41.7
"≥1 Dose, Males",Kansas,2017,13-17 Years,49.8
"≥1 Dose, Females",Kansas,2008,13-17 Years,30.1
"≥1 Dose, Females",Kansas,2018,13-17 Years,60.5
"≥1 Dose, Females",Kansas,2017,13-17 Years,55.2
"≥1 Dose, Females",Kansas,2016,13-17 Years,62.4
"≥1 Dose, Females",Kansas,2019,13-17 Years,61.7
"≥1 Dose, Males",Kansas,2012,13-17 Years,13.5
"≥2 Doses, Females",Kansas,2008,13-17 Years,21.4
"≥2 Doses, Females",Kansas,2011,13-17 Years,28.8
"≥2 Doses, Females",Kansas,2010,13-17 Years,37.3
"≥2 Doses, Females",Kansas,2009,13-17 Years,35.3
"≥1 Dose, Males and Females",Kansas,2017,13-17 Years,52.4
"≥1 Dose, Males and Females",Kansas,2016,13-17 Years,51.8
"≥1 Dose, Males and Females",Kansas,2018,13-17 Years,62.3
"Up-to-Date, Males and Females",Kansas,2020,13-17 Years,53.3
"Up-to-Date, Males and Females",Kansas,2022,13-17 Years,60.7
"Up-to-Date, Males and Females",Kansas,2021,13-17 Years,64.3
"Up-to-Date, Males and Females",Kansas,2019,13-17 Years,49.5
"Up-to-Date, Males and Females",Kansas,2018,13-17 Years,40.7
"Up-to-Date, Males and Females",Kansas,2017,13-17 Years,34.4
"Up-to-Date, Males and Females",Kansas,2016,13-17 Years,35.6
"≥1 Dose, Males",Alabama,2023,13-17 Years,75.1
"Up-to-Date, Females",Alabama,2023,13-17 Years,65.7
"Up-to-Date, Males",Alabama,2023,13-17 Years,55.0
"≥1 Dose, Females",Alabama,2023,13-17 Years,83.2
"Up-to-Date, Males and Females",Alabama,2023,13-17 Years,60.3
"≥1 Dose, Males and Females",Alabama,2023,13-17 Years,79.0
"≥2 Doses, Females",Alabama,2018,13-17 Years,56.0
"≥1 Dose, Males and Females",Alabama,2016,13-17 Years,51.7
"≥1 Dose, Males and Females",Alabama,2017,13-17 Years,58.0
"≥1 Dose, Males and Females",Alabama,2018,13-17 Years,64.7
"≥2 Doses, Females",Alabama,2015,13-17 Years,50.4
"≥2 Doses, Females",Alabama,2016,13-17 Years,48.4
"≥2 Doses, Females",Alabama,2017,13-17 Years,54.4
"≥2 Doses, Males",Alabama,2013,13-17 Years,10.9
"≥2 Doses, Males",Alabama,2014,13-17 Years,16.1
"≥2 Doses, Males",Alabama,2015,13-17 Years,30.3
"≥2 Doses, Females",Alabama,2019,13-17 Years,57.3
"≥2 Doses, Males",Alabama,2016,13-17 Years,32.2
"≥2 Doses, Males",Alabama,2017,13-17 Years,41.4
"≥2 Doses, Males",Alabama,2018,13-17 Years,50.1
"≥2 Doses, Males",Alabama,2019,13-17 Years,43.9
"≥3 Doses, Males",Alabama,2014,13-17 Years,9.0
"≥3 Doses, Males",Alabama,2015,13-17 Years,22.6
"≥1 Dose, Males",Alabama,2012,13-17 Years,17.8
"≥1 Dose, Females",Alabama,2019,13-17 Years,69.6
"≥2 Doses, Males and Females",Alabama,2016,13-17 Years,40.2
"≥2 Doses, Males and Females",Alabama,2017,13-17 Years,47.8
"≥2 Doses, Males and Females",Alabama,2018,13-17 Years,53.0
"≥2 Doses, Males and Females",Alabama,2019,13-17 Years,50.5
"≥1 Dose, Females",Alabama,2020,13-17 Years,70.4
"≥1 Dose, Females",Alabama,2021,13-17 Years,76.8
"≥1 Dose, Females",Alabama,2022,13-17 Years,77.2
"≥1 Dose, Females",Alabama,2016,13-17 Years,54.2
"≥1 Dose, Females",Alabama,2017,13-17 Years,61.1
"≥1 Dose, Females",Alabama,2018,13-17 Years,69.1
"≥1 Dose, Females",Alabama,2011,13-17 Years,49.5
"≥1 Dose, Females",Alabama,2012,13-17 Years,46.6
"≥1 Dose, Females",Alabama,2013,13-17 Years,54.7
"≥1 Dose, Females",Alabama,2014,13-17 Years,54.7
"≥1 Dose, Females",Alabama,2015,13-17 Years,57.7
"≥1 Dose, Females",Alabama,2010,13-17 Years,45.8
"≥1 Dose, Females",Alabama,2008,13-17 Years,32.8
"≥1 Dose, Females",Alabama,2009,13-17 Years,49.4
"≥1 Dose, Males",Alabama,2022,13-17 Years,76.4
"≥1 Dose, Males",Alabama,2019,13-17 Years,61.6
"≥1 Dose, Males",Alabama,2020,13-17 Years,64.3
"≥1 Dose, Males",Alabama,2021,13-17 Years,80.2
"≥1 Dose, Males",Alabama,2017,13-17 Years,55.1
"≥1 Dose, Males",Alabama,2018,13-17 Years,60.4
"≥1 Dose, Males",Alabama,2013,13-17 Years,18.4
"≥1 Dose, Males",Alabama,2014,13-17 Years,27.6
"≥1 Dose, Males",Alabama,2015,13-17 Years,39.4
"≥1 Dose, Males",Alabama,2016,13-17 Years,49.2
"≥2 Doses, Females",Alabama,2014,13-17 Years,40.7
"≥2 Doses, Females",Alabama,2009,13-17 Years,36.7
"≥2 Doses, Females",Alabama,2010,13-17 Years,31.3
"≥2 Doses, Females",Alabama,2011,13-17 Years,38.3
"≥2 Doses, Females",Alabama,2012,13-17 Years,36.9
"≥2 Doses, Females",Alabama,2013,13-17 Years,46.6
"≥2 Doses, Females",Alabama,2008,13-17 Years,22.3
"≥1 Dose, Males and Females",Alabama,2019,13-17 Years,65.6
"≥1 Dose, Males and Females",Alabama,2020,13-17 Years,67.3
"≥1 Dose, Males and Females",Alabama,2021,13-17 Years,78.5
"≥1 Dose, Males and Females",Alabama,2022,13-17 Years,76.8
"Up-to-Date, Females",Alabama,2018,13-17 Years,52.0
"Up-to-Date, Females",Alabama,2016,13-17 Years,46.5
"Up-to-Date, Males",Alabama,2021,13-17 Years,66.6
"Up-to-Date, Males",Alabama,2022,13-17 Years,58.7
"Up-to-Date, Females",Alabama,2017,13-17 Years,47.2
"Up-to-Date, Females",Alabama,2020,13-17 Years,57.0
"Up-to-Date, Females",Alabama,2019,13-17 Years,52.2
"Up-to-Date, Females",Alabama,2021,13-17 Years,58.2
"Up-to-Date, Females",Alabama,2022,13-17 Years,59.8
"Up-to-Date, Males",Alabama,2017,13-17 Years,33.7
"Up-to-Date, Males",Alabama,2016,13-17 Years,24.7
"Up-to-Date, Males and Females",Alabama,2019,13-17 Years,47.3
"Up-to-Date, Males and Females",Alabama,2020,13-17 Years,52.9
"Up-to-Date, Males and Females",Alabama,2021,13-17 Years,62.5
"Up-to-Date, Males and Females",Alabama,2022,13-17 Years,59.2
"≥3 Doses, Females",Alabama,2008,13-17 Years,13.2
"≥3 Doses, Females",Alabama,2009,13-17 Years,25.2
"≥3 Doses, Females",Alabama,2010,13-17 Years,20.0
"≥3 Doses, Females",Alabama,2012,13-17 Years,31.1
"≥3 Doses, Females",Alabama,2013,13-17 Years,39.6
"≥3 Doses, Females",Alabama,2014,13-17 Years,35.3
"≥3 Doses, Females",Alabama,2015,13-17 Years,40.8
"≥3 Doses, Females",Alabama,2011,13-17 Years,31.2
"Up-to-Date, Males and Females",Alabama,2017,13-17 Years,40.3
"Up-to-Date, Males and Females",Alabama,2018,13-17 Years,50.2
"Up-to-Date, Males",Utah,2018,13-17 Years,38.1
"Up-to-Date, Males",Utah,2019,13-17 Years,41.4
"Up-to-Date, Males",Utah,2017,13-17 Years,32.9
"Up-to-Date, Males",Utah,2020,13-17 Years,40.5
"Up-to-Date, Males",Utah,2022,13-17 Years,48.3
"Up-to-Date, Females",Utah,2017,13-17 Years,42.1
"Up-to-Date, Females",Utah,2018,13-17 Years,48.6
"Up-to-Date, Females",Utah,2019,13-17 Years,48.0
"Up-to-Date, Females",Utah,2020,13-17 Years,49.8
"Up-to-Date, Females",Utah,2022,13-17 Years,62.5
"Up-to-Date, Females",Utah,2021,13-17 Years,62.5
"Up-to-Date, Females",Utah,2016,13-17 Years,41.3
"Up-to-Date, Males",Utah,2021,13-17 Years,60.2
"Up-to-Date, Males",Utah,2016,13-17 Years,20.3
"≥1 Dose, Females",Utah,2014,13-17 Years,59.2
"≥1 Dose, Females",Utah,2013,13-17 Years,44.3
"≥1 Dose, Females",Utah,2012,13-17 Years,44.3
"≥1 Dose, Females",Utah,2010,13-17 Years,39.2
"≥1 Dose, Females",Utah,2011,13-17 Years,53.3
"≥2 Doses, Males and Females",Utah,2019,13-17 Years,48.3
"≥1 Dose, Females",Utah,2009,13-17 Years,32.5
"≥1 Dose, Females",Utah,2008,13-17 Years,17.1
"≥1 Dose, Females",Utah,2021,13-17 Years,82.8
"≥1 Dose, Females",Utah,2019,13-17 Years,75.0
"≥1 Dose, Males",Utah,2018,13-17 Years,57.2
"≥1 Dose, Males",Utah,2020,13-17 Years,65.6
"≥1 Dose, Males",Utah,2017,13-17 Years,54.7
"≥3 Doses, Females",Utah,2015,13-17 Years,24.6
"≥3 Doses, Females",Utah,2011,13-17 Years,20.4
"≥3 Doses, Females",Utah,2014,13-17 Years,26.0
"≥3 Doses, Females",Utah,2013,13-17 Years,20.5
"≥3 Doses, Females",Utah,2009,13-17 Years,19.5
"≥3 Doses, Females",Utah,2012,13-17 Years,24.1
"≥3 Doses, Females",Utah,2010,13-17 Years,22.2
"≥3 Doses, Males",Utah,2014,13-17 Years,12.4
"≥3 Doses, Males",Utah,2015,13-17 Years,19.9
"≥2 Doses, Females",Utah,2013,13-17 Years,30.9
"≥2 Doses, Females",Utah,2012,13-17 Years,39.0
"≥2 Doses, Females",Utah,2009,13-17 Years,25.7
"≥2 Doses, Females",Utah,2011,13-17 Years,40.9
"≥2 Doses, Females",Utah,2010,13-17 Years,32.9
"≥1 Dose, Males",Utah,2021,13-17 Years,79.1
"≥1 Dose, Males",Utah,2019,13-17 Years,63.0
"≥1 Dose, Males",Utah,2022,13-17 Years,71.0
"≥1 Dose, Males and Females",Utah,2019,13-17 Years,68.8
"≥1 Dose, Males and Females",Utah,2022,13-17 Years,73.0
"≥1 Dose, Males and Females",Utah,2018,13-17 Years,66.7
"≥1 Dose, Males",Utah,2016,13-17 Years,40.9
"≥1 Dose, Males",Utah,2015,13-17 Years,40.9
"≥1 Dose, Males",Utah,2014,13-17 Years,28.6
"≥1 Dose, Males",Utah,2013,13-17 Years,11.0
"≥1 Dose, Females",Utah,2020,13-17 Years,71.7
"≥1 Dose, Females",Utah,2022,13-17 Years,75.2
"≥2 Doses, Males and Females",Utah,2017,13-17 Years,40.0
"≥2 Doses, Males and Females",Utah,2016,13-17 Years,34.5
"≥2 Doses, Males and Females",Utah,2018,13-17 Years,45.6
"≥1 Dose, Males and Females",Utah,2016,13-17 Years,49.7
"≥1 Dose, Males and Females",Utah,2017,13-17 Years,58.8
"≥1 Dose, Females",Utah,2018,13-17 Years,76.7
"≥1 Dose, Females",Utah,2017,13-17 Years,63.1
"≥1 Dose, Females",Utah,2016,13-17 Years,58.8
"≥1 Dose, Females",Utah,2015,13-17 Years,47.8
"≥2 Doses, Males",Utah,2017,13-17 Years,34.8
"≥2 Doses, Males",Utah,2016,13-17 Years,24.1
"≥2 Doses, Males",Utah,2018,13-17 Years,39.9
"≥2 Doses, Females",Utah,2019,13-17 Years,51.9
"≥2 Doses, Males",Utah,2015,13-17 Years,33.7
"≥2 Doses, Females",Utah,2018,13-17 Years,51.5
"≥1 Dose, Males and Females",Utah,2021,13-17 Years,80.9
"≥2 Doses, Females",Utah,2017,13-17 Years,45.5
"≥2 Doses, Females",Utah,2016,13-17 Years,45.5
"≥2 Doses, Females",Utah,2014,13-17 Years,40.0
"≥2 Doses, Females",Utah,2015,13-17 Years,35.9
"≥1 Dose, Males and Females",Utah,2020,13-17 Years,68.6
"≥2 Doses, Males",Utah,2014,13-17 Years,19.6
"≥1 Dose, Males",Tennessee,2023,13-17 Years,74.0
"Up-to-Date, Females",Tennessee,2023,13-17 Years,57.8
"Up-to-Date, Males",Tennessee,2023,13-17 Years,52.4
"Up-to-Date, Males and Females",Tennessee,2023,13-17 Years,55.0
"≥1 Dose, Females",Tennessee,2023,13-17 Years,81.5
"≥1 Dose, Males and Females",Tennessee,2023,13-17 Years,77.7
"≥2 Doses, Males and Females",Tennessee,2022,13-17 Years,65.6
"≥2 Doses, Males",Tennessee,2022,13-17 Years,65.2
"Up-to-Date, Males and Females",Tennessee,2016,13-17 Years,36.0
"≥2 Doses, Males",Tennessee,2019,13-17 Years,39.5
"Up-to-Date, Males and Females",Tennessee,2021,13-17 Years,56.5
"Up-to-Date, Males and Females",Tennessee,2022,13-17 Years,64.4
"Up-to-Date, Males and Females",Tennessee,2019,13-17 Years,43.0
"≥3 Doses, Males",Tennessee,2015,13-17 Years,16.0
"≥3 Doses, Males",Tennessee,2014,13-17 Years,14.0
"Up-to-Date, Males and Females",Tennessee,2020,13-17 Years,52.9
"≥3 Doses, Females",Tennessee,2010,13-17 Years,26.3
"≥3 Doses, Females",Tennessee,2008,13-17 Years,13.0
"≥3 Doses, Females",Tennessee,2009,13-17 Years,26.5
"≥1 Dose, Females",Tennessee,2009,13-17 Years,43.6
"≥1 Dose, Females",Tennessee,2008,13-17 Years,29.6
"≥1 Dose, Females",Tennessee,2012,13-17 Years,54.3
"≥1 Dose, Females",Tennessee,2013,13-17 Years,48.9
"≥1 Dose, Females",Tennessee,2014,13-17 Years,47.8
"≥1 Dose, Females",Tennessee,2011,13-17 Years,46.0
"≥1 Dose, Females",Tennessee,2010,13-17 Years,33.1
"≥3 Doses, Females",Tennessee,2015,13-17 Years,38.9
"≥3 Doses, Females",Tennessee,2012,13-17 Years,28.6
"≥3 Doses, Females",Tennessee,2011,13-17 Years,27.2
"≥3 Doses, Females",Tennessee,2013,13-17 Years,35.9
"≥3 Doses, Females",Tennessee,2014,13-17 Years,20.1
"≥1 Dose, Females",Tennessee,2018,13-17 Years,60.9
"≥2 Doses, Males and Females",Tennessee,2016,13-17 Years,39.8
"≥1 Dose, Males",Tennessee,2012,13-17 Years,20.3
"≥1 Dose, Males",Tennessee,2013,13-17 Years,28.9
"≥1 Dose, Males",Tennessee,2014,13-17 Years,30.5
"≥1 Dose, Males",Tennessee,2015,13-17 Years,38.2
"≥1 Dose, Males",Tennessee,2016,13-17 Years,55.3
"≥1 Dose, Males",Tennessee,2019,13-17 Years,54.3
"≥1 Dose, Males",Tennessee,2020,13-17 Years,73.9
"≥1 Dose, Males",Tennessee,2021,13-17 Years,69.3
"≥2 Doses, Males and Females",Tennessee,2018,13-17 Years,48.9
"≥1 Dose, Females",Tennessee,2019,13-17 Years,69.9
"≥2 Doses, Males and Females",Tennessee,2017,13-17 Years,44.2
"≥1 Dose, Females",Tennessee,2020,13-17 Years,69.4
"≥1 Dose, Females",Tennessee,2021,13-17 Years,81.6
"≥1 Dose, Females",Tennessee,2022,13-17 Years,74.4
"≥1 Dose, Males",Tennessee,2017,13-17 Years,49.6
"≥1 Dose, Males",Tennessee,2018,13-17 Years,63.7
"≥2 Doses, Males and Females",Tennessee,2019,13-17 Years,46.0
"≥1 Dose, Males",Tennessee,2022,13-17 Years,73.9
"≥2 Doses, Females",Tennessee,2008,13-17 Years,25.7
"≥2 Doses, Females",Tennessee,2010,13-17 Years,29.5
"≥2 Doses, Females",Tennessee,2011,13-17 Years,39.5
"≥2 Doses, Females",Tennessee,2009,13-17 Years,34.5
"≥2 Doses, Females",Tennessee,2012,13-17 Years,40.9
"≥2 Doses, Females",Tennessee,2013,13-17 Years,39.8
"≥1 Dose, Females",Tennessee,2017,13-17 Years,62.8
"≥1 Dose, Females",Tennessee,2016,13-17 Years,55.3
"≥1 Dose, Females",Tennessee,2015,13-17 Years,59.7
"≥1 Dose, Males and Females",Tennessee,2017,13-17 Years,56.1
"≥1 Dose, Males and Females",Tennessee,2016,13-17 Years,55.3
"≥1 Dose, Males and Females",Tennessee,2019,13-17 Years,61.9
"≥1 Dose, Males and Females",Tennessee,2018,13-17 Years,62.3
"≥1 Dose, Males and Females",Tennessee,2020,13-17 Years,71.7
"≥1 Dose, Males and Females",Tennessee,2021,13-17 Years,75.3
"≥2 Doses, Females",Tennessee,2017,13-17 Years,51.3
"≥2 Doses, Females",Tennessee,2016,13-17 Years,39.6
"≥2 Doses, Females",Tennessee,2015,13-17 Years,46.7
"≥2 Doses, Females",Tennessee,2014,13-17 Years,39.4
"≥2 Doses, Females",Tennessee,2018,13-17 Years,51.8
"≥2 Doses, Females",Tennessee,2019,13-17 Years,52.7
"≥2 Doses, Males",Tennessee,2018,13-17 Years,46.1
"≥2 Doses, Males",Tennessee,2017,13-17 Years,37.5
"≥2 Doses, Males",Tennessee,2016,13-17 Years,40.0
"≥1 Dose, Males and Females",Tennessee,2022,13-17 Years,74.1
"≥2 Doses, Males",Tennessee,2013,13-17 Years,18.0
"≥2 Doses, Males",Tennessee,2014,13-17 Years,19.4
"≥2 Doses, Males",Tennessee,2015,13-17 Years,26.0
"≥2 Doses, Females",Tennessee,2022,13-17 Years,65.9
"≥3 Doses, Males and Females",Tennessee,2011,13-17 Years,13.5
"≥3 Doses, Males and Females",Tennessee,2012,13-17 Years,16.2
"≥3 Doses, Males and Females",Tennessee,2013,13-17 Years,22.4
"≥3 Doses, Males and Females",Tennessee,2015,13-17 Years,27.2
"≥3 Doses, Males and Females",Tennessee,2014,13-17 Years,17.0
"≥1 Dose, Males",California,2023,13-17 Years,70.4
"Up-to-Date, Females",California,2023,13-17 Years,64.7
"≥1 Dose, Females",California,2023,13-17 Years,79.5
"Up-to-Date, Males",California,2023,13-17 Years,50.8
"Up-to-Date, Males and Females",California,2023,13-17 Years,57.6
"≥1 Dose, Males and Females",California,2023,13-17 Years,74.8
"≥2 Doses, Females",California,2022,13-17 Years,60.8
"≥2 Doses, Males",California,2022,13-17 Years,62.3
"≥2 Doses, Males and Females",California,2022,13-17 Years,61.6
"≥1 Dose, Males",California,2019,13-17 Years,77.8
"≥1 Dose, Males",California,2018,13-17 Years,78.4
"≥1 Dose, Males",California,2016,13-17 Years,67.3
"≥1 Dose, Males",California,2015,13-17 Years,58.5
"≥1 Dose, Males",California,2013,13-17 Years,50.9
"≥1 Dose, Males",California,2014,13-17 Years,52.1
"≥1 Dose, Males",California,2017,13-17 Years,68.2
"≥2 Doses, Males and Females",California,2018,13-17 Years,59.6
"≥2 Doses, Males and Females",California,2019,13-17 Years,62.5
"≥1 Dose, Females",California,2020,13-17 Years,83.2
"≥1 Dose, Females",California,2021,13-17 Years,80.5
"≥1 Dose, Females",California,2022,13-17 Years,70.1
"≥1 Dose, Males",California,2011,13-17 Years,13.0
"≥1 Dose, Males",California,2012,13-17 Years,29.4
"≥2 Doses, Males and Females",California,2017,13-17 Years,60.1
"≥2 Doses, Males and Females",California,2016,13-17 Years,57.5
"≥1 Dose, Females",California,2019,13-17 Years,79.7
"≥1 Dose, Females",California,2009,13-17 Years,49.2
"≥1 Dose, Females",California,2010,13-17 Years,56.1
"≥1 Dose, Females",California,2017,13-17 Years,75.6
"≥1 Dose, Females",California,2016,13-17 Years,78.0
"≥1 Dose, Females",California,2018,13-17 Years,68.4
"≥1 Dose, Females",California,2008,13-17 Years,46.6
"≥1 Dose, Males and Females",California,2019,13-17 Years,78.7
"≥1 Dose, Males and Females",California,2020,13-17 Years,78.2
"≥1 Dose, Males and Females",California,2021,13-17 Years,81.7
"≥1 Dose, Males and Females",California,2022,13-17 Years,72.2
"≥1 Dose, Males and Females",California,2017,13-17 Years,71.9
"≥1 Dose, Males and Females",California,2016,13-17 Years,72.6
"≥1 Dose, Males and Females",California,2018,13-17 Years,73.5
